PRODUCT_ID,BROWSE_NODE_ID
1,1140
2,2321
3,2673
4,604
5,1922
6,33
7,2321
8,1
9,1
10,2321
11,2321
12,1724
13,1295
14,2321
15,185
16,2321
17,890
18,787
19,701
20,251
21,618
22,1079
23,2594
24,1045
25,2321
26,739
27,604
28,1045
29,708
30,3329
31,1045
32,2321
33,3883
34,1194
35,3175
36,3175
37,1045
38,3175
39,3329
40,993
41,11
42,977
43,1045
44,1045
45,2040
46,4708
47,796
48,796
49,1045
50,4306
51,3562
52,692
53,1045
54,525
55,191
56,322
57,251
58,16
59,1236
60,1045
61,2229
62,1319
63,781
64,1295
65,1045
66,1045
67,1552
68,1602
69,840
70,1045
71,82
72,55
73,1973
74,3867
75,1287
76,289
77,708
78,439
79,322
80,4418
81,1045
82,1084
83,1209
84,465
85,1287
86,465
87,977
88,1239
89,1045
90,796
91,1239
92,1045
93,1239
94,1240
95,1045
96,1045
97,289
98,1045
99,840
100,1658
101,11
102,1045
103,1045
104,1045
105,1835
106,1045
107,5112
108,13
109,242
110,396
111,1024
112,1045
113,1045
114,1045
115,1045
116,1295
117,3867
118,3175
119,1045
120,1045
121,242
122,1045
123,1724
124,1072
125,1295
126,1045
127,81
128,818
129,6
130,1045
131,1045
132,1045
133,4
134,1240
135,2229
136,787
137,1186
138,328
139,2273
140,507
141,2229
142,1
143,1045
144,1295
145,6656
146,1295
147,1045
148,6
149,818
150,5398
151,507
152,787
153,36
154,6
155,1239
156,8594
157,324
158,153
159,1973
160,507
161,2385
162,3027
163,1552
164,8594
165,2229
166,6
167,289
168,977
169,1239
170,3175
171,796
172,2524
173,782
174,289
175,9643
176,1072
177,82
178,834
179,890
180,1454
181,9643
182,507
183,10848
184,5061
185,1193
186,328
187,6
188,7784
189,4947
190,439
191,507
192,1079
193,507
194,2516
195,507
196,396
197,2560
198,968
199,2181
200,1002
201,1835
202,3770
203,1185
204,1777
205,4962
206,836
207,4183
208,1973
209,3050
210,534
211,6
212,3867
213,1045
214,10779
215,1988
216,507
217,872
218,362
219,311
220,863
221,2379
222,1232
223,1164
224,16410
225,800
226,3503
227,1876
228,1988
229,532
230,800
231,836
232,13568
233,781
234,800
235,781
236,1011
237,2321
238,154
239,2516
240,677
241,2321
242,3138
243,890
244,2321
245,15772
246,36
247,1045
248,1296
249,1045
250,1045
251,2321
252,2321
253,708
254,969
255,2321
256,2040
257,5041
258,2321
259,1045
260,1045
261,507
262,989
263,374
264,227
265,1045
266,1930
267,1045
268,1045
269,3175
270,2415
271,5
272,1454
273,1045
274,1295
275,256
276,1454
277,1010
278,5
279,1603
280,1672
281,507
282,805
283,1813
284,115
285,4323
286,2787
287,2957
288,1045
289,3562
290,2465
291,1092
292,1084
293,1045
294,1045
295,507
296,1295
297,1045
298,1045
299,1045
300,2040
301,651
302,805
303,2057
304,692
305,36
306,701
307,1045
308,191
309,1045
310,5471
311,1045
312,896
313,1045
314,1045
315,2229
316,465
317,289
318,1045
319,1045
320,1240
321,13
322,242
323,422
324,92
325,507
326,2936
327,2594
328,5471
329,4
330,6
331,1045
332,1045
333,1658
334,1045
335,709
336,1045
337,1013
338,242
339,1045
340,1045
341,1045
342,1045
343,1045
344,621
345,289
346,1045
347,1045
348,1045
349,1045
350,748
351,439
352,636
353,1539
354,1045
355,1045
356,289
357,1045
358,2807
359,1045
360,1045
361,1295
362,646
363,1045
364,1045
365,748
366,1045
367,1045
368,507
369,69
370,6
371,1045
372,10779
373,1045
374,1045
375,1045
376,1045
377,816
378,1045
379,289
380,1045
381,525
382,3175
383,1239
384,2020
385,1248
386,1973
387,422
388,5932
389,19
390,1687
391,1484
392,1186
393,1045
394,1239
395,532
396,1045
397,924
398,3446
399,2977
400,507
401,1348
402,1035
403,2091
404,1819
405,507
406,289
407,1083
408,1003
409,2029
410,13
411,89
412,89
413,834
414,1239
415,2860
416,289
417,2174
418,1973
419,328
420,1433
421,1433
422,9643
423,818
424,818
425,9424
426,1092
427,576
428,4947
429,1988
430,637
431,1454
432,66
433,251
434,1684
435,781
436,1699
437,781
438,328
439,1287
440,507
441,1052
442,1922
443,1603
444,1164
445,1045
446,324
447,21269
448,1973
449,3027
450,5900
451,818
452,1239
453,6
454,1045
455,507
456,1454
457,92
458,251
459,1194
460,5
461,5061
462,1024
463,3355
464,447
465,2524
466,1024
467,227
468,840
469,800
470,1239
471,13568
472,1446
473,413
474,753
475,3503
476,3503
477,800
478,800
479,753
480,700
481,115
482,1186
483,5
484,796
485,11125
486,1973
487,1092
488,449
489,818
490,1724
491,3503
492,1013
493,701
494,1045
495,5
496,1045
497,1433
498,2040
499,1040
500,834
501,411
502,1045
503,439
504,1563
505,1045
506,3027
507,1045
508,5
509,2321
510,2321
511,1053
512,2508
513,1045
514,5
515,2040
516,3976
517,1287
518,289
519,1251
520,796
521,2229
522,796
523,1295
524,2321
525,6568
526,5
527,406
528,422
529,74
530,328
531,417
532,1045
533,2040
534,328
535,1045
536,1045
537,1045
538,1045
539,427
540,2516
541,796
542,9643
543,1045
544,1351
545,507
546,1045
547,9106
548,1045
549,1433
550,396
551,1045
552,422
553,1045
554,251
555,13
556,1045
557,872
558,1045
559,3994
560,1045
561,1295
562,1045
563,1045
564,1045
565,8269
566,5425
567,748
568,5
569,86
570,4
571,251
572,2860
573,1164
574,829
575,1164
576,1045
577,1011
578,810
579,1045
580,1239
581,1198
582,1045
583,507
584,630
585,1045
586,1045
587,1045
588,1045
589,1295
590,1045
591,977
592,1045
593,1045
594,748
595,1045
596,1922
597,1045
598,1045
599,1045
600,1045
601,1084
602,1045
603,1045
604,840
605,1045
606,1973
607,1045
608,1045
609,1045
610,2040
611,818
612,1684
613,11
614,1045
615,1045
616,1339
617,427
618,1045
619,1045
620,1045
621,6
622,6
623,1045
